customer_id,customer_name,gender,birth_date,age,country,signup_date,recency,frequency,monetary,R_score,F_score,M_score,rfm_score,segment
C0067,Customer_67,Male,8/26/1987,37,Canada,1/31/2022,53,22,2128.03,2,5,4,254,At Risk
C0068,Customer_68,Male,4/15/2001,23,UK,1/7/2021,55,21,2027.97,2,4,4,244,At Risk
C0069,Customer_69,Male,1/8/1998,26,UK,10/2/2022,18,22,2839.7,5,5,5,555,Champions
C0070,Customer_70,Female,12/28/1994,30,USA,7/21/2022,41,15,1601.38,3,2,2,322,Others
C0071,Customer_71,Male,12/17/1993,31,Canada,8/19/2021,25,23,2279.94,4,5,5,455,Loyal Customers
C0072,Customer_72,Male,6/26/1992,32,UK,7/28/2022,85,25,2729.28,1,5,5,155,At Risk
C0073,Customer_73,Male,3/18/1991,33,USA,8/28/2021,37,18,1932.17,3,3,4,334,Others
C0074,Customer_74,Female,1/24/1989,35,USA,3/31/2021,66,21,1809.86,1,4,3,143,At Risk
C0075,Customer_75,Female,3/22/1996,28,USA,8/20/2021,45,13,1435.37,2,1,2,212,Others
C0076,Customer_76,Female,3/8/1993,31,UK,4/2/2022,67,16,1385.72,1,2,2,122,Others
C0077,Customer_77,Female,5/9/2001,23,USA,8/21/2021,37,25,2528.75,3,5,5,355,Big Spenders
C0078,Customer_78,Female,1/13/1997,27,Canada,12/20/2021,26,25,2507.13,4,5,5,455,Loyal Customers
C0079,Customer_79,Female,8/6/1998,26,Canada,11/29/2021,76,17,2005.81,1,3,4,134,Others
C0080,Customer_80,Female,6/24/1988,36,UK,3/15/2022,54,22,2082.08,2,5,4,254,At Risk
C0081,Customer_81,Male,9/27/1987,37,Canada,1/10/2022,27,20,1917.9,4,4,4,444,Loyal Customers
C0082,Customer_82,Male,1/18/2001,23,USA,10/19/2021,90,15,2091.11,1,2,4,124,Others
C0083,Customer_83,Female,6/22/1996,28,UK,12/11/2021,49,18,1857.89,2,3,3,233,Others
C0084,Customer_84,Male,5/1/1996,28,USA,10/26/2022,55,20,1594.4,2,4,2,242,At Risk
C0085,Customer_85,Male,5/20/1988,36,UK,3/4/2022,35,14,1645.98,3,1,3,313,Others
C0086,Customer_86,Female,2/3/1990,34,UK,10/19/2022,29,20,1905.34,4,4,3,443,Loyal Customers
C0087,Customer_87,Male,9/10/1992,32,USA,5/10/2021,25,24,2171.95,4,5,4,454,Loyal Customers
C0088,Customer_88,Male,8/12/1995,29,Canada,5/21/2021,21,19,2204.23,5,3,5,535,Big Spenders
C0089,Customer_89,Female,11/17/1995,29,Canada,2/19/2022,72,17,2033.01,1,3,4,134,Others
C0090,Customer_90,Male,3/16/2001,23,UK,4/3/2021,19,15,1396.27,5,2,2,522,New Customers
C0091,Customer_91,Female,6/9/2000,24,USA,9/18/2022,150,15,1700.26,1,2,3,123,Others
C0092,Customer_92,Female,12/28/1987,37,USA,10/11/2021,45,17,1724.14,2,3,3,233,Others
C0093,Customer_93,Male,3/9/1997,27,UK,10/17/2022,51,16,1315.81,2,2,1,221,Others
C0094,Customer_94,Male,12/27/1990,34,Canada,8/11/2021,35,21,1907,3,4,3,343,Others
C0095,Customer_95,Male,10/3/2000,24,USA,1/14/2023,19,22,1579.71,5,5,2,552,Loyal Customers
C0096,Customer_96,Female,2/19/1998,26,Canada,4/8/2022,29,15,1190.07,4,2,1,421,Others
C0097,Customer_97,Female,6/27/1998,26,Canada,6/29/2022,62,12,793.2,2,1,1,211,Others
C0098,Customer_98,Female,8/9/1991,33,UK,10/3/2021,25,10,791.89,4,1,1,411,Others
C0099,Customer_99,Male,11/18/1989,35,UK,11/13/2022,24,13,1323.7,5,1,1,511,New Customers
C0100,Customer_100,Male,11/14/1993,31,Canada,5/20/2021,52,12,1127.21,2,1,1,211,Others
C0101,Customer_101,Female,9/25/2000,24,USA,12/23/2021,49,13,996.55,2,1,1,211,Others
C0102,Customer_102,Male,12/11/1999,25,USA,12/14/2022,42,15,1368.71,3,2,2,322,Others
C0103,Customer_103,Male,11/12/1988,36,UK,1/23/2021,68,13,2026.96,1,1,4,114,Others
C0104,Customer_104,Female,10/7/1997,27,Canada,1/6/2023,36,19,2108.37,3,4,4,344,Others
C0105,Customer_105,Female,10/30/1992,32,USA,9/27/2021,62,30,2889.03,2,5,5,255,At Risk
C0106,Customer_106,Male,4/11/2000,24,USA,10/27/2022,23,23,2742.16,5,5,5,555,Champions
C0107,Customer_107,Female,12/30/1997,27,UK,11/29/2021,35,26,2482.61,3,5,5,355,Big Spenders
C0108,Customer_108,Male,1/16/1996,28,Canada,3/26/2021,23,20,1539.08,5,4,2,542,Loyal Customers
C0109,Customer_109,Female,12/20/1988,36,USA,9/13/2022,26,21,2366.73,4,4,5,445,Loyal Customers
C0110,Customer_110,Female,3/16/1987,37,UK,1/31/2021,68,19,2522.91,1,3,5,135,Big Spenders
C0111,Customer_111,Female,7/17/1990,34,USA,1/11/2023,43,24,2538.24,3,5,5,355,Big Spenders
C0112,Customer_112,Male,4/6/1992,32,USA,8/28/2021,34,20,1711.53,3,4,3,343,Others
C0113,Customer_113,Male,5/20/1998,26,USA,12/29/2021,24,18,1553.57,4,3,2,432,Others
C0114,Customer_114,Female,8/9/2000,24,UK,1/24/2022,26,17,1681.33,4,2,3,423,Others
C0115,Customer_115,Female,11/16/1987,37,Canada,10/15/2022,25,22,2096.35,4,5,4,454,Loyal Customers
C0116,Customer_116,Female,11/19/1992,32,UK,10/30/2022,49,17,1954.17,2,3,4,234,Others
C0117,Customer_117,Male,12/23/1990,34,Canada,10/26/2021,25,11,1080.39,4,1,1,411,Others
C0118,Customer_118,Female,8/9/2000,24,USA,1/6/2022,36,9,614.34,3,1,1,311,Others
C0119,Customer_119,Female,4/5/1991,33,Canada,4/9/2021,24,10,959.37,5,1,1,511,New Customers
C0120,Customer_120,Female,7/9/1998,26,USA,2/16/2021,97,20,1748.69,1,4,3,143,At Risk
C0121,Customer_121,Female,4/21/1995,29,USA,2/26/2022,22,15,1424.89,5,2,2,522,New Customers
C0122,Customer_122,Male,4/5/1988,36,UK,4/25/2022,18,20,1887.17,5,4,3,543,Loyal Customers
C0123,Customer_123,Male,6/5/1989,35,USA,8/2/2022,31,15,1492.56,3,2,2,322,Others
C0124,Customer_124,Female,9/3/1996,28,UK,3/3/2021,90,10,1019.19,1,1,1,111,Others
C0125,Customer_125,Male,10/11/1997,27,Canada,4/19/2021,38,23,1937.43,3,5,4,354,Others
C0126,Customer_126,Male,1/20/1990,34,Canada,11/10/2022,43,14,1255.24,2,1,1,211,Others
C0127,Customer_127,Male,12/11/1989,35,USA,7/3/2022,67,12,1063.87,1,1,1,111,Others
C0128,Customer_128,Female,8/12/1997,27,UK,4/29/2021,26,28,2852.29,4,5,5,455,Loyal Customers
C0129,Customer_129,Male,8/21/1999,25,USA,8/21/2022,62,10,853.01,2,1,1,211,Others
C0130,Customer_130,Male,6/8/2000,24,UK,1/17/2022,37,14,1447.81,3,1,2,312,Others
C0131,Customer_131,Male,4/8/1992,32,UK,1/27/2022,36,18,1529.74,3,3,2,332,Others
C0132,Customer_132,Female,7/15/1989,35,UK,2/21/2021,64,20,2300.12,1,4,5,145,At Risk
C0133,Customer_133,Female,9/27/1999,25,Canada,8/26/2022,36,18,1939.31,3,3,4,334,Others
C0134,Customer_134,Male,3/31/1993,31,UK,10/16/2021,47,24,2170.9,2,5,4,254,At Risk
C0135,Customer_135,Male,11/21/1989,35,Canada,12/3/2021,27,21,1934.4,4,4,4,444,Loyal Customers
C0136,Customer_136,Female,10/19/1999,25,UK,7/23/2021,84,13,1452.69,1,1,2,112,Others
C0137,Customer_137,Female,6/25/1988,36,Canada,8/26/2021,44,16,1940.25,2,2,4,224,Others
C0138,Customer_138,Male,12/1/1992,32,Canada,1/17/2022,25,18,1878.94,4,3,3,433,Others
C0139,Customer_139,Male,3/1/1993,31,Canada,10/29/2022,24,17,1576.96,4,2,2,422,Others
C0140,Customer_140,Female,11/18/1989,35,USA,1/22/2023,92,13,860.58,1,1,1,111,Others
C0141,Customer_141,Female,7/6/1999,25,UK,5/16/2021,23,22,1605.83,5,5,2,552,Loyal Customers
C0142,Customer_142,Male,7/7/1994,30,USA,2/11/2022,56,20,1569.97,2,4,2,242,At Risk
C0143,Customer_143,Female,8/5/1997,27,UK,5/23/2022,43,11,1261.43,3,1,1,311,Others
C0144,Customer_144,Male,9/9/2000,24,UK,12/28/2021,39,17,1922.53,3,3,4,334,Others
C0145,Customer_145,Male,4/9/1999,25,USA,1/16/2022,55,13,1153.48,2,1,1,211,Others
C0146,Customer_146,Male,5/20/1998,26,Canada,7/30/2022,29,22,2015.66,4,5,4,454,Loyal Customers
C0147,Customer_147,Female,8/16/1999,25,UK,9/27/2022,36,23,2476.08,3,5,5,355,Big Spenders
C0148,Customer_148,Male,5/23/1999,25,Canada,9/11/2021,59,12,1309.54,2,1,1,211,Others
C0149,Customer_149,Male,10/20/1999,25,USA,4/22/2022,21,22,1972.61,5,5,4,554,Loyal Customers
C0150,Customer_150,Female,4/10/1991,33,Canada,4/24/2021,37,15,1237.61,3,2,1,321,Others
C0151,Customer_151,Female,4/20/1997,27,UK,1/20/2021,96,11,627.37,1,1,1,111,Others
C0152,Customer_152,Male,3/10/1990,34,UK,6/12/2022,64,22,2174.52,1,5,4,154,At Risk
C0153,Customer_153,Male,11/2/2001,23,UK,5/25/2021,20,8,892.87,5,1,1,511,New Customers
C0154,Customer_154,Female,6/15/1994,30,USA,7/27/2021,39,21,2849.66,3,5,5,355,Big Spenders
C0155,Customer_155,Female,6/16/1993,31,UK,6/15/2022,18,16,2172.07,5,2,4,524,New Customers
C0156,Customer_156,Female,4/15/1988,36,USA,1/11/2022,27,18,2254.35,4,3,5,435,Big Spenders
C0157,Customer_157,Male,11/17/1990,34,Canada,5/19/2022,19,16,1743.16,5,2,3,523,New Customers
C0158,Customer_158,Male,1/8/1991,33,UK,6/15/2021,23,20,2392.92,5,4,5,545,Loyal Customers
C0159,Customer_159,Male,3/19/1989,35,UK,7/4/2022,85,15,1842.5,1,2,3,123,Others
C0160,Customer_160,Female,6/21/1987,37,UK,6/30/2021,32,14,1358.68,3,1,2,312,Others
C0161,Customer_161,Male,4/19/1998,26,Canada,9/9/2022,85,16,2071.2,1,2,4,124,Others
C0162,Customer_162,Female,5/5/1998,26,UK,9/4/2022,96,13,1754.49,1,1,3,113,Others
C0163,Customer_163,Male,7/27/1998,26,USA,8/25/2022,36,16,1407.37,3,2,2,322,Others
C0164,Customer_164,Female,7/27/1993,31,Canada,3/20/2022,27,19,1614.92,4,3,3,433,Others
C0165,Customer_165,Male,11/21/2000,24,Canada,11/28/2021,18,22,1711.37,5,5,3,553,Loyal Customers
C0166,Customer_166,Male,7/4/1991,33,Canada,5/18/2022,46,19,1730.94,2,4,3,243,At Risk
C0167,Customer_167,Female,2/27/1987,37,Canada,3/20/2021,75,17,1490.34,1,3,2,132,Others
C0168,Customer_168,Female,2/3/1990,34,Canada,8/8/2022,34,24,2515.92,3,5,5,355,Big Spenders
C0169,Customer_169,Male,9/15/1990,34,USA,11/19/2022,34,17,1804.97,3,3,3,333,Others
C0170,Customer_170,Female,2/6/1989,35,Canada,1/31/2022,18,15,980.87,5,2,1,521,New Customers
C0171,Customer_171,Female,8/31/1997,27,UK,8/31/2022,65,13,1032.44,1,1,1,111,Others
C0172,Customer_172,Male,11/13/1988,36,Canada,4/13/2021,24,26,2440.87,5,5,5,555,Champions
C0173,Customer_173,Female,6/16/1996,28,Canada,2/6/2022,47,20,1917.11,2,4,4,244,At Risk
C0174,Customer_174,Male,7/1/1992,32,Canada,8/12/2021,136,14,1556.62,1,1,2,112,Others
C0175,Customer_175,Male,8/9/1995,29,Canada,6/2/2022,19,23,1916.57,5,5,4,554,Loyal Customers
C0176,Customer_176,Female,11/26/1991,33,Canada,9/26/2022,91,22,2810.61,1,5,5,155,At Risk
C0177,Customer_177,Female,1/17/1991,33,USA,8/24/2021,60,13,993.88,2,1,1,211,Others
C0178,Customer_178,Male,6/4/1989,35,USA,3/3/2022,77,21,2249.99,1,4,5,145,At Risk
C0179,Customer_179,Male,9/11/1997,27,Canada,4/26/2021,94,14,1127.17,1,1,1,111,Others
C0180,Customer_180,Male,4/20/1999,25,USA,6/12/2021,21,20,2015.68,5,4,4,544,Loyal Customers
C0181,Customer_181,Male,3/19/1991,33,UK,8/14/2021,30,12,1480.7,4,1,2,412,Others
C0182,Customer_182,Male,9/4/1992,32,Canada,8/18/2021,52,14,1281.57,2,1,1,211,Others
C0183,Customer_183,Male,11/9/1987,37,UK,7/1/2021,45,19,1587.46,2,4,2,242,At Risk
C0184,Customer_184,Female,7/23/2001,23,UK,9/6/2021,108,17,1636.08,1,3,3,133,Others
C0185,Customer_185,Female,3/21/1989,35,Canada,11/14/2021,25,14,1220.14,4,2,1,421,Others
C0186,Customer_186,Female,2/13/1993,31,UK,7/29/2021,25,24,2477.39,4,5,5,455,Loyal Customers
C0187,Customer_187,Male,10/28/1994,30,UK,10/18/2022,19,18,1754.48,5,3,3,533,Others
C0188,Customer_188,Female,7/26/1994,30,UK,1/27/2022,25,18,1757.35,4,3,3,433,Others
C0189,Customer_189,Male,7/25/1992,32,Canada,4/6/2021,68,17,1585.79,1,3,2,132,Others
C0190,Customer_190,Male,2/16/1991,33,Canada,1/26/2023,84,14,1598.38,1,1,2,112,Others
C0191,Customer_191,Female,6/12/1999,25,UK,3/27/2021,18,21,2011.28,5,4,4,544,Loyal Customers
C0192,Customer_192,Male,1/14/1994,30,Canada,2/19/2022,26,16,2128.91,4,2,4,424,Others
C0193,Customer_193,Male,3/9/1992,32,Canada,1/29/2022,27,21,2340.72,4,4,5,445,Loyal Customers
C0194,Customer_194,Male,12/26/2001,23,UK,11/27/2022,34,21,1903.08,3,4,3,343,Others
C0195,Customer_195,Male,5/29/1994,30,Canada,9/25/2022,22,10,904.94,5,1,1,511,New Customers
C0196,Customer_196,Male,8/19/1988,36,USA,5/16/2022,20,21,2186.02,5,4,5,545,Loyal Customers
C0197,Customer_197,Male,11/17/1992,32,Canada,8/27/2022,19,15,1236.92,5,2,1,521,New Customers
C0198,Customer_198,Female,9/7/1988,36,USA,8/5/2022,134,14,1198.1,1,1,1,111,Others
C0199,Customer_199,Male,8/5/1989,35,UK,5/13/2021,86,18,1582.56,1,3,2,132,Others
C0200,Customer_200,Male,9/26/1999,25,Canada,3/2/2023,30,13,674.88,4,1,1,411,Others
C0201,Customer_201,Male,12/22/1998,26,UK,10/11/2022,63,18,1823.39,1,3,3,133,Others
C0202,Customer_202,Male,4/22/1997,27,UK,11/10/2021,28,19,1444.05,4,3,2,432,Others
C0203,Customer_203,Female,7/6/1992,32,UK,11/30/2022,40,18,1863.04,3,3,3,333,Others
C0204,Customer_204,Female,2/14/1997,27,UK,8/9/2021,31,23,2543.73,3,5,5,355,Big Spenders
C0205,Customer_205,Male,5/5/1988,36,UK,3/14/2022,71,19,2076.01,1,4,4,144,At Risk
C0206,Customer_206,Male,11/29/1998,26,Canada,2/15/2021,119,15,2107.58,1,2,4,124,Others
C0207,Customer_207,Male,8/25/1993,31,USA,3/1/2023,30,21,1842,4,4,3,443,Loyal Customers
C0208,Customer_208,Female,8/27/2000,24,Canada,7/11/2021,23,20,2265.34,5,4,5,545,Loyal Customers
C0209,Customer_209,Female,6/25/1988,36,Canada,6/4/2022,18,14,1587.64,5,2,2,522,New Customers
C0210,Customer_210,Female,7/11/1990,34,Canada,1/14/2022,41,21,2172.63,3,5,4,354,Others
C0211,Customer_211,Female,6/22/1991,33,Canada,2/27/2023,28,19,1587.43,4,3,2,432,Others
C0212,Customer_212,Male,6/21/2000,24,USA,11/22/2022,60,12,643.41,2,1,1,211,Others
C0213,Customer_213,Female,1/5/1995,29,Canada,11/30/2021,39,19,2129.52,3,4,4,344,Others
C0214,Customer_214,Female,9/14/1990,34,UK,2/8/2021,24,20,2036.79,4,4,4,444,Loyal Customers
C0215,Customer_215,Male,12/25/1998,26,Canada,10/20/2021,35,18,1630.56,3,3,3,333,Others
C0216,Customer_216,Male,7/22/1990,34,Canada,11/21/2022,42,17,2225.98,3,3,5,335,Big Spenders
C0217,Customer_217,Female,4/30/2000,24,USA,6/11/2021,58,14,1230.25,2,1,1,211,Others
C0218,Customer_218,Female,11/11/1997,27,USA,11/27/2021,19,20,1879.41,5,4,3,543,Loyal Customers
C0219,Customer_219,Female,2/10/1999,25,UK,4/14/2021,159,14,1499.95,1,1,2,112,Others
C0220,Customer_220,Female,3/8/1993,31,Canada,6/10/2021,41,19,1705.37,3,4,3,343,Others
C0221,Customer_221,Male,9/27/2000,24,Canada,3/10/2023,19,23,2795.99,5,5,5,555,Champions
C0222,Customer_222,Male,9/22/1999,25,Canada,9/27/2022,93,15,1477.91,1,2,2,122,Others
C0223,Customer_223,Female,9/4/1992,32,UK,2/23/2021,105,16,1159.01,1,2,1,121,Others
C0224,Customer_224,Female,12/2/1988,36,USA,2/3/2021,49,14,1609.21,2,1,2,212,Others
C0225,Customer_225,Female,4/3/1992,32,UK,8/30/2021,36,14,795.73,3,1,1,311,Others
C0226,Customer_226,Female,9/26/1993,31,Canada,4/23/2021,51,15,1568.07,2,2,2,222,Others
C0227,Customer_227,Female,9/2/1998,26,USA,11/14/2021,30,21,2009.45,4,4,4,444,Loyal Customers
C0228,Customer_228,Male,9/4/1998,26,USA,1/23/2021,100,21,2171.18,1,4,4,144,At Risk
C0229,Customer_229,Male,11/3/1998,26,UK,7/12/2022,95,14,1322.5,1,1,1,111,Others
C0230,Customer_230,Male,1/2/1988,36,USA,10/9/2022,43,16,1609.12,2,2,2,222,Others
C0231,Customer_231,Female,6/11/1988,36,USA,4/28/2021,20,20,2466.76,5,4,5,545,Loyal Customers
C0232,Customer_232,Female,5/18/2000,24,Canada,12/2/2022,20,12,1470.83,5,1,2,512,New Customers
C0233,Customer_233,Male,3/7/1997,27,Canada,10/5/2022,18,12,1072.62,5,1,1,511,New Customers
C0234,Customer_234,Male,11/18/1996,28,USA,7/31/2021,42,23,2582.08,3,5,5,355,Big Spenders
C0235,Customer_235,Female,10/10/1997,27,USA,2/22/2022,59,19,2255.16,2,3,5,235,Big Spenders
C0236,Customer_236,Male,8/25/1999,25,UK,4/23/2021,33,18,1676.52,3,3,3,333,Others
C0237,Customer_237,Female,3/19/2001,23,UK,2/13/2021,32,14,1304.66,3,1,1,311,Others
C0238,Customer_238,Female,11/23/1992,32,USA,5/8/2021,88,9,953.52,1,1,1,111,Others
C0239,Customer_239,Male,3/23/1992,32,Canada,6/7/2021,18,15,1509.17,5,2,2,522,New Customers
C0240,Customer_240,Male,4/1/1995,29,USA,2/24/2023,51,18,1699.93,2,3,3,233,Others
C0241,Customer_241,Male,10/15/2001,23,USA,1/29/2022,62,16,1588.53,2,2,2,222,Others
C0242,Customer_242,Female,7/30/1998,26,Canada,5/27/2022,68,18,1417.3,1,3,2,132,Others
C0243,Customer_243,Female,4/11/1995,29,Canada,2/14/2021,53,15,1321.82,2,2,1,221,Others
C0244,Customer_244,Male,7/15/1996,28,UK,4/18/2021,44,20,2100.92,2,4,4,244,At Risk
C0245,Customer_245,Female,6/13/1994,30,UK,8/7/2021,26,30,3412.7,4,5,5,455,Loyal Customers
C0246,Customer_246,Female,11/6/1991,33,UK,3/19/2022,21,15,1169.43,5,2,1,521,New Customers
C0247,Customer_247,Female,4/6/1998,26,UK,11/11/2021,37,15,1794.68,3,2,3,323,Others
C0248,Customer_248,Male,11/13/1991,33,Canada,6/26/2021,30,10,1260.61,4,1,1,411,Others
C0249,Customer_249,Female,7/14/1998,26,USA,8/16/2021,23,26,2294.07,5,5,5,555,Champions
C0250,Customer_250,Male,3/8/1989,35,UK,12/4/2022,46,24,2115.63,2,5,4,254,At Risk
C0251,Customer_251,Male,10/21/1995,29,UK,11/3/2022,97,16,2260.19,1,2,5,125,Big Spenders
C0252,Customer_252,Female,5/16/1997,27,Canada,9/24/2021,56,17,1761.39,2,3,3,233,Others
C0253,Customer_253,Male,2/24/1995,29,Canada,1/14/2022,58,22,2572.36,2,5,5,255,At Risk
C0254,Customer_254,Female,3/26/1997,27,USA,5/4/2022,58,20,1962.62,2,4,4,244,At Risk
C0255,Customer_255,Male,9/8/1991,33,USA,12/3/2022,48,19,1269.41,2,4,1,241,At Risk
C0256,Customer_256,Male,1/22/1989,35,Canada,11/18/2022,26,19,1873.94,4,3,3,433,Others
C0257,Customer_257,Female,10/5/1993,31,UK,10/17/2021,49,23,2164.56,2,5,4,254,At Risk
C0258,Customer_258,Male,11/13/1997,27,UK,12/23/2021,35,21,1914.57,3,4,4,344,Others
